videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,avgWordCEFR,avgFreqCEFR,readability,avgSentenceLength,uncommonRatio,totalEasyRatio,totalMiddleRatio,totalHardRatio,wordEasyRatio,wordMiddleRatio,wordHardRatio,FreqEasyRatio,FreqMiddleRatio,FreqHardRatio,channelId,video_id,difficulty,channel_id
SuSTBXGiOsw,671,288,106,1.635172782657083,2.8270833333333334,2.7256944444444446,2.8946759259259265,5.138699580712789,6.330188679245283,30.555555555555557,56.805555555555564,17.430555555555557,25.76388888888889,63.194444444444436,10.416666666666666,26.38888888888889,52.5462962962963,22.10648148148148,25.347222222222218,UCWCOoCApFUtccYENOYeL1uw,SuSTBXGiOsw,1,UCWCOoCApFUtccYENOYeL1uw
-Q1X1pqHlco,658,327,92,1.764087833004738,3.0311926605504587,2.834862385321101,3.162079510703364,6.149243238930994,7.152173913043479,36.697247706422026,50.825688073394495,20.978593272171253,28.195718654434252,58.103975535168196,16.207951070336392,25.68807339449541,45.973496432212016,24.159021406727827,29.867482161060142,UCWCOoCApFUtccYENOYeL1uw,-Q1X1pqHlco,1,UCWCOoCApFUtccYENOYeL1uw
EhJS5bUdlTk,70,55,8,1.1278725504018046,2.2327272727272724,2.109090909090909,2.315151515151515,2.730727272727273,8.75,14.545454545454545,70.18181818181819,15.272727272727273,14.545454545454545,77.27272727272727,8.181818181818182,14.545454545454545,65.45454545454545,20.0,14.545454545454545,UCWCOoCApFUtccYENOYeL1uw,EhJS5bUdlTk,1,UCWCOoCApFUtccYENOYeL1uw
KRIZOVmsBas,152,98,22,1.7133765756945294,2.1918367346938776,2.0612244897959187,2.2789115646258504,3.5651398886827463,6.909090909090909,20.40816326530612,70.81632653061223,15.10204081632653,14.081632653061225,73.9795918367347,13.775510204081634,12.244897959183671,68.70748299319729,15.98639455782313,15.306122448979592,UCWCOoCApFUtccYENOYeL1uw,KRIZOVmsBas,1,UCWCOoCApFUtccYENOYeL1uw
oJKH3rJiu1Q,536,314,72,1.638818982263372,2.8121019108280247,2.63375796178344,2.9309978768577487,5.498480113234253,7.4444444444444455,32.48407643312102,55.92356687898089,19.490445859872608,24.5859872611465,63.69426751592356,13.21656050955414,23.08917197452229,50.74309978768578,23.67303609341826,25.58386411889597,UCWCOoCApFUtccYENOYeL1uw,oJKH3rJiu1Q,1,UCWCOoCApFUtccYENOYeL1uw
hvK3EE5toII,552,259,96,1.7319455762664653,2.5845559845559847,2.3803088803088803,2.7207207207207205,4.857593822393822,5.75,28.957528957528954,59.845559845559855,20.849420849420852,19.30501930501931,68.33976833976834,13.899613899613898,17.760617760617762,54.18275418275418,25.48262548262548,20.33462033462033,UCWCOoCApFUtccYENOYeL1uw,hvK3EE5toII,1,UCWCOoCApFUtccYENOYeL1uw
WQCNFcReilw,491,269,67,1.5598369166799642,3.001486988847584,2.8550185873605947,3.0991325898389093,5.881181734450425,7.328358208955223,34.944237918215606,52.118959107806695,19.03345724907063,28.84758364312268,57.06319702602231,15.055762081784387,27.881040892193308,48.82280049566295,21.68525402726146,29.491945477075593,UCWCOoCApFUtccYENOYeL1uw,WQCNFcReilw,1,UCWCOoCApFUtccYENOYeL1uw
28fCpAYYTuw,524,279,78,1.7577174018891821,2.906810035842294,2.7311827956989245,3.0238948626045405,6.33227835676868,6.717948717948718,37.992831541218635,53.9068100358423,19.211469534050178,26.88172043010753,61.11111111111111,13.799283154121866,25.089605734767023,49.10394265232975,22.81959378733573,28.076463560334524,UCWCOoCApFUtccYENOYeL1uw,28fCpAYYTuw,1,UCWCOoCApFUtccYENOYeL1uw
jayZ-37g2SQ,34,27,5,0.8628378640400199,2.1259259259259258,1.9259259259259256,2.2592592592592595,2.6765392592592594,6.8,14.814814814814813,69.62962962962963,20.0,10.370370370370368,75.92592592592592,12.962962962962964,11.111111111111109,65.4320987654321,24.691358024691358,9.876543209876543,UCWCOoCApFUtccYENOYeL1uw,jayZ-37g2SQ,1,UCWCOoCApFUtccYENOYeL1uw
Ajzf9FyXgE4,139,90,27,1.6064435742257035,2.3777777777777778,2.4166666666666665,2.351851851851852,4.6414592592592605,5.148148148148149,27.777777777777782,67.77777777777777,11.333333333333332,20.88888888888889,70.0,6.111111111111112,23.88888888888889,66.29629629629629,14.814814814814815,18.88888888888889,UCWCOoCApFUtccYENOYeL1uw,Ajzf9FyXgE4,1,UCWCOoCApFUtccYENOYeL1uw
CO2QoRjXf_4,34,26,10,1.112991334567467,1.8153846153846156,1.8653846153846156,1.782051282051282,1.9905630769230769,3.4,11.538461538461537,76.92307692307692,16.153846153846153,6.9230769230769225,80.76923076923076,7.6923076923076925,11.538461538461537,74.35897435897436,21.794871794871803,3.8461538461538463,UCWCOoCApFUtccYENOYeL1uw,CO2QoRjXf_4,1,UCWCOoCApFUtccYENOYeL1uw
e-nckgCYY0Y,55,32,8,0.6560129083782219,2.1375,1.984375,2.239583333333333,2.8081875,6.875,15.625,71.875,16.875,11.25,78.125,9.375,12.5,67.70833333333334,21.875,10.416666666666668,UCWCOoCApFUtccYENOYeL1uw,e-nckgCYY0Y,1,UCWCOoCApFUtccYENOYeL1uw
JnmtL8WaekY,29,16,4,0.6056029487629999,1.8625,1.6875,1.9791666666666667,2.3333500000000003,7.25,12.5,78.75,12.5,8.75,84.375,6.25,9.375,75.0,16.666666666666664,8.333333333333332,UCWCOoCApFUtccYENOYeL1uw,JnmtL8WaekY,1,UCWCOoCApFUtccYENOYeL1uw
0392Bcr1ePI,30,24,4,0.594500866980431,1.9083333333333328,1.8958333333333333,1.9166666666666667,4.3195000000000014,7.5,25.0,77.5,11.666666666666664,10.833333333333336,79.16666666666667,8.333333333333332,12.5,76.3888888888889,13.888888888888891,9.722222222222221,UCWCOoCApFUtccYENOYeL1uw,0392Bcr1ePI,1,UCWCOoCApFUtccYENOYeL1uw
dUoQ_Y_CdIo,97,41,17,0.9216147039039774,1.9560975609756093,1.9146341463414636,1.9837398373983741,2.5937434720229557,5.705882352941178,14.634146341463413,78.04878048780489,12.19512195121951,9.75609756097561,82.92682926829268,4.878048780487805,12.19512195121951,74.79674796747966,17.073170731707314,8.130081300813007,UCWCOoCApFUtccYENOYeL1uw,dUoQ_Y_CdIo,1,UCWCOoCApFUtccYENOYeL1uw
OdIz8VOcSyg,38,28,3,0.8061839047754541,1.7571428571428571,1.6964285714285714,1.7976190476190474,2.3200523809523808,12.666666666666664,10.714285714285714,82.85714285714286,12.142857142857144,5.0,87.5,5.357142857142857,7.142857142857142,79.76190476190476,16.666666666666664,3.571428571428571,UCWCOoCApFUtccYENOYeL1uw,OdIz8VOcSyg,1,UCWCOoCApFUtccYENOYeL1uw
